SQL Statement which produced this data:
  select p1.sorlcur_pidm,
         smrprle_program_desc,
         crse.title_crse,
         pkg_comun.f_prom_acumul(p1.sorlcur_pidm,
                                  '201810',
                                  p1.sorlcur_levl_code)
  from sorlcur p1,
       sorlfos,
       sfbetrm,
       smrprle,
       (select distinct sfrstcr_pidm pidm, 
             p.scbcrse_title title_crse 
      from sfrstcr,
           ssbsect,
           scbcrse p
      where sfrstcr_term_code = ssbsect_term_code
      and sfrstcr_crn = ssbsect_crn
      and sfrstcr_term_code = :periodo
      and ssbsect_subj_code = 'DEPO'
      and p.scbcrse_subj_code = ssbsect_subj_code
      and p.scbcrse_crse_numb = ssbsect_crse_numb
      and p.scbcrse_eff_term = (select max(q.scbcrse_eff_term)
                                from scbcrse q
                                where q.scbcrse_crse_numb = p.scbcrse_crse_numb
                                and q.scbcrse_subj_code = p.scbcrse_subj_code)) crse
  where  p1.sorlcur_term_code =(SELECT MAX(l1.sorlcur_term_code)
                                FROM SORLCUR l1
                                WHERE l1.sorlcur_pidm        = p1.sorlcur_pidm
                                AND l1.sorlcur_priority_no = 1
                                AND l1.sorlcur_lmod_code      =  'LEARNER' 
                                AND l1.sorlcur_cact_code   =  'ACTIVE' 
                                AND l1.sorlcur_term_code      <= :PERIODO)
  AND p1.sorlcur_seqno         = 
              (SELECT MAX(l1.sorlcur_seqno)
                FROM SORLCUR l1
               WHERE l1.sorlcur_pidm        = p1.sorlcur_pidm
                 AND l1.sorlcur_priority_no = 1
                 AND l1.sorlcur_lmod_code      =  'LEARNER' 
                    AND l1.sorlcur_cact_code   =  'ACTIVE' 
                 AND l1.sorlcur_term_code      = p1.sorlcur_term_code
             )           
         AND p1.sorlcur_priority_no   = 1
         AND p1.sorlcur_lmod_code        =  'LEARNER' 
         AND p1.sorlcur_cact_code        =  'ACTIVE' 
         AND p1.sorlcur_pidm            = sorlfos_pidm
         AND p1.sorlcur_seqno            = sorlfos_lcur_seqno
         AND sorlfos_priority_no        = 1
         AND sorlfos_cact_code        =  'ACTIVE' 
         AND sorlfos_csts_code        =  'INPROGRESS' 
         AND sorlfos_lfst_code        =  'MAJOR' 
         AND sfbetrm_pidm = sorlfos_pidm
         AND sfbetrm_term_code = '201820'
         AND p1.sorlcur_coll_code = 'IN'
         AND p1.sorlcur_levl_code='MA'
         AND crse.pidm = sfbetrm_pidm
         and smrprle_program = p1.sorlcur_program;

SORLCUR_PIDM|SMRPRLE_PROGRAM_DESC|TITLE_CRSE|PKG_COMUN.F_PROM_ACUMUL(P1.SORLCUR_PIDM,'201810',P1.SORLCUR_LEVL_CODE)
294589|MAESTRIA EN INGENIERIA QUIMICA|FRISBEE ULTIMATE|4,65
294589|MAESTRIA EN INGENIERIA QUIMICA|SELECCION DE SQUASH|4,65
294589|MAESTRIA EN INGENIERIA QUIMICA|SELECCION SQUASH|4,65
273353|MAESTRIA EN INGENIERIA QUIMICA|SELECCION FUTBOL|4,71
263086|MAESTRIA EN INGENIERIA QUIMICA|FRISBEE ULTIMATE|4,31
253500|MAESTRIA EN INGENIERIA QUIMICA|YOGA|4,93
294094|MAESTRIA EN INGENIERIA QUIMICA|SELECCION DE SQUASH|0
282222|MAESTRIA EN INGENIERIA QUIMICA|FRISBEE ULTIMATE|4,65
300999|MAESTRIA EN INGENIERIA QUIMICA|KUNG FU|4,5
300999|MAESTRIA EN INGENIERIA QUIMICA|CUERPO TOTAL|4,5
264579|MAESTRIA EN INGENIERIA QUIMICA|ABDOMEN DE IMPACTO|4,72
264579|MAESTRIA EN INGENIERIA QUIMICA|CUERPO TOTAL|4,72
264579|MAESTRIA EN INGENIERIA QUIMICA|AFRO -  FUSION|4,72
361963|MAESTRIA EN INGENIERIA QUIMICA|SOFTBOL|4,64
299603|MAESTRIA EN INGENIERIA QUIMICA|NATACION|3,88
282248|MAESTRIA EN ARQUITECTURAS TI|BILLAR|4,1
282248|MAESTRIA EN ARQUITECTURAS TI|RUMBA AEROBICA|4,1
282248|MAESTRIA EN ARQUITECTURAS TI|SALSA|4,1
282248|MAESTRIA EN ARQUITECTURAS TI|TENIS DE MESA|4,1
328839|MAESTRIA EN ARQUITECTURAS TI|FUTBOL|4,34
163494|MAESTRIA EN ARQUITECTURAS TI|ABDOMEN DE IMPACTO|4,24
